tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G2100230950100,21023950100,G2100230950100,21023950100,0.9814705925,0.9931030943,0.9931944069,0.9932022812,0.9933220436,0.9938155582,0.9927098192,0.9946659048
G2100230950100,21023950100,G2100230950300,21023950300,0.0185294075,0.0068969057,0.0068055931,0.0067977188,0.0066779564,0.0061844418,0.0072901808,0.0053340952
G2100230950200,21023950200,G2100230950200,21023950200,0.9999955389,1,1,1,1,1,1,1
G2100230950200,21023950200,G2100230950300,21023950300,0.0000044611,0,0,0,0,0,0,0
G2100230950300,21023950300,G2100230950100,21023950100,0.0001610091,0.0004882812,0.0006591958,0,0.0006261741,0.000538503,0,0.0024813896
G2100230950300,21023950300,G2100230950300,21023950300,0.9998389909,0.9995117188,0.9993408042,1,0.9993738259,0.999461497,1,0.9975186104
G2100250920100,21025920100,G2100250920800,21025920800,1,1,1,1,1,1,1,1
G2100250920200,21025920200,G2100250920200,21025920200,1,1,1,1,1,1,1,1
G2100250920300,21025920300,G2100250920301,21025920301,0.644696447,0.5448546299,0.5605237774,0.537370881,0.5532939374,0.5514091351,0.5443653216,0.5695473251
G2100250920300,21025920300,G2100250920302,21025920302,0.355303553,0.4551453701,0.4394762226,0.462629119,0.4467060626,0.4485908649,0.4556346784,0.4304526749
G2100250920400,21025920400,G2100250920800,21025920800,1,1,1,1,1,1,1,1
G2100250920500,21025920500,G2100250920500,21025920500,1,1,1,1,1,1,1,1
G2100250920600,21025920600,G2100250920600,21025920600,0.9999994125,0.9999994458,0.9999993748,0.9999994812,0.9999993864,0.9999993671,0.9999994169,0.9999992512
G2100250920600,21025920600,G2100250920700,21025920700,0.0000005875,0.0000005542,0.0000006252,0.0000005188,0.0000006136,0.0000006329,0.0000005831,0.0000007488
G2100250920700,21025920700,G2100250920600,21025920600,0.000008576,0.0000002898,0.000000283,0.0000002782,0.0000002814,0.0000002813,0.0000003023,0.0000001713
G2100250920700,21025920700,G2100250920700,21025920700,0.9999625192,0.9999997102,0.999999717,0.9999997218,0.9999997186,0.9999997187,0.9999996977,0.9999998287
G2100250920700,21025920700,G2100250920800,21025920800,0.0000289047,0,0,0,0,0,0,0
G2100270960100,21027960100,G2100270960100,21027960100,1,1,1,1,1,1,1,1
G2100270960200,21027960200,G2100270960200,21027960200,1,1,1,1,1,1,1,1
G2100270960300,21027960300,G2100270960300,21027960300,1,1,1,1,1,1,1,1
G2100270960400,21027960400,G2100270960400,21027960400,1,1,1,1,1,1,1,1
G2100270960501,21027960501,G2100270960501,21027960501,1,1,1,1,1,1,1,1
